date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:01:18	24156/24156	---M--	200	added ('OK')	image/jpeg	etag:%225d0b46f7-5e5c%22	http://zoyothemes.com/eagle/images/works/img4.jpg	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/images/works/img4.jpg	(from http://zoyothemes.com/eagle/index.html)
23:01:21	60175/60175	---M--	200	added ('OK')	image/jpeg	etag:%225d0b46f7-eb0f%22	http://zoyothemes.com/eagle/images/works/img3.jpg	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/images/works/img3.jpg	(from http://zoyothemes.com/eagle/index.html)
23:01:21	51961/51961	---M--	200	added ('OK')	image/jpeg	etag:%225d0b46f7-caf9%22	http://zoyothemes.com/eagle/images/works/img6.jpg	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/images/works/img6.jpg	(from http://zoyothemes.com/eagle/index.html)
23:01:25	49725/49725	---M--	200	added ('OK')	image/jpeg	etag:%225d0b46f7-c23d%22	http://zoyothemes.com/eagle/images/works/img7.jpg	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/images/works/img7.jpg	(from http://zoyothemes.com/eagle/index.html)
23:01:25	20213/20213	---M--	200	added ('OK')	image/jpeg	etag:%225d0b46f7-4ef5%22	http://zoyothemes.com/eagle/images/works/img10.jpg	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/images/works/img10.jpg	(from http://zoyothemes.com/eagle/index.html)
23:01:25	25375/25375	---M--	200	added ('OK')	image/jpeg	etag:%225d0b46f7-631f%22	http://zoyothemes.com/eagle/images/works/img9.jpg	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/images/works/img9.jpg	(from http://zoyothemes.com/eagle/index.html)
23:01:26	5099/5099	---M--	200	added ('OK')	image/png	etag:%2259630d27-13eb%22	http://zoyothemes.com/eagle/images/logo.png	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/images/logo.png	(from http://zoyothemes.com/eagle/index.html)
23:01:27	88145/88145	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2030%20Mar%202020%2014:48:35%20GMT	http://zoyothemes.com/eagle/js/jquery.min.js	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/js/jquery.min.js	(from http://zoyothemes.com/eagle/index.html)
23:01:28	80698/80698	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2030%20Mar%202020%2014:48:35%20GMT	http://zoyothemes.com/eagle/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/js/bootstrap.bundle.min.js	(from http://zoyothemes.com/eagle/index.html)
23:01:29	34695/34695	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2010%20Jul%202017%2005:14:15%20GMT	http://zoyothemes.com/eagle/js/isotope.pkgd.min.js	C:/My%20Web%20Sites/elegant/zoyothemes.com/eagle/js/isotope.pkgd.min.js	(from http://zoyothemes.com/eagle/index.html)
